Created - 20:54:51.061712 Large marble: Zeus, marbles: Middle Green Yellow, Golden Yellow, Pastel Gray, Blue Bell, Golden Yellow, Duke Blue, Russian Green
Created - 20:54:51.125446 Large marble: Spinner, marbles: Big Dip O’ruby, Ruby, Blue, Candy Pink, Middle Green, Slate Blue, Fiery Rose
Created - 20:54:51.201142 Large marble: 5-Star, marbles: Light Orchid, Almond, Pastel Gray, Platinum, Outrageous Orange, Ruby, Sage
Created - 20:54:51.275209 Large marble: The Boss, marbles: Antique Brass, Shandy, Bistre Brown, Spanish Pink, Shandy, Orange Soda, Pale Plum
Created - 20:54:51.350717 Large marble: Lucky, marbles: Thulian Pink, Orange Soda, Antique Bronze, Russian Violet, Golden Yellow, Pale Goldenrod, Light Orchid
Created - 20:54:51.427662 Large marble: Lucky, marbles: Light Orange, Big Dip O’ruby, Safety Yellow, Tuscan Brown, Maximum Purple, Orange Soda, White Smoke
Created - 20:54:51.503019 Large marble: Sure Shot, marbles: Eerie Black, Ivory, Cobalt Blue, Thulian Pink, Almond, Orange Soda, Blue Bell
Created - 20:54:51.578800 Large marble: Lucky, marbles: Brown, Mint Cream, Blue-Green, Bistre Brown, Platinum, Pastel Blue, Cobalt Blue
Created - 20:54:51.653415 Large marble: Hercules, marbles: Mint Cream, Honeydew, Black Coral, Lumber, Pale Cerulean, Duke Blue, Thulian Pink
Created - 20:54:51.726878 Large marble: Winner, marbles: Golden Yellow, Royal Orange, Lavender Purple, Spanish Carmine, Bistre Brown, Mode Beige, Middle Green
Created - 20:54:51.800726 Large marble: Hercules, marbles: Lavender Blue, Lavender Blue, Brown, Neon Pink, Silver Pink, Pastel Gray, Vegas Gold
Created - 20:54:51.875169 Large marble: Spinner, marbles: Duke Blue, Rose Quartz, Mint Cream, Auburn, Liver Chestnut, Vegas Gold, Fiery Rose
Created - 20:54:51.949041 Large marble: Zeus, marbles: Russian Green, White Smoke, Granny Smith Apple, Neon Silver, Safety Yellow, Pale Goldenrod, Slate Blue
Created - 20:54:52.024399 Large marble: Winner, marbles: Duke Blue, Lemon Lime, Sheen Green, Mango Tango, Eerie Black, Brink Pink, Indigo
Created - 20:54:52.099530 Large marble: 5-Star, marbles: Spanish Pink, Duke Blue, Blue, Brink Pink, Honeydew, Mango Tango, Orange Peel
Created - 20:54:52.175968 Large marble: Lucky, marbles: Cotton Candy, Venetian Red, Platinum, Mango Tango, Liver Chestnut, Dark Moss Green, Antique Brass
Created - 20:54:52.250929 Large marble: Spinner, marbles: Orange Soda, Antique Brass, Lilac Luster, Sage, Royal Orange, Arylide Yellow, Royal Red
Created - 20:54:52.325013 Large marble: Sure Shot, marbles: Royal Red, Indigo, White Smoke, Arylide Yellow, Ruby, Russian Green, Icterine
Created - 20:54:52.399441 Large marble: Apollo, marbles: Silver Pink, Almond, Maximum Blue, Maximum Purple, Brown, Mulberry, Pale Taupe
Created - 20:54:52.474020 Large marble: 5-Star, marbles: Auburn, Dark Fuchsia, Outrageous Orange, Bistre Brown, Lemon Lime, Silver Chalice, Beaver
